timeStampNs,gameTime,hand,objectName
284718222400,267.4890,right,SaltShaker_StandingTable_1
284733256200,267.5040,right,SaltShaker_StandingTable_1
284747701000,267.5185,right,SaltShaker_StandingTable_1
284762079300,267.5330,right,SaltShaker_StandingTable_1
284776818400,267.5475,right,SaltShaker_StandingTable_1
284790974600,267.5616,right,SaltShaker_StandingTable_1
284805156500,267.5759,right,SaltShaker_StandingTable_1
284819364100,267.5902,right,SaltShaker_StandingTable_1
284833994800,267.6046,right,SaltShaker_StandingTable_1
284847893900,267.6186,right,SaltShaker_StandingTable_1
284861612300,267.6325,right,SaltShaker_StandingTable_1
284875611800,267.6463,right,SaltShaker_StandingTable_1
284889620000,267.6602,right,SaltShaker_StandingTable_1
284903615800,267.6743,right,SaltShaker_StandingTable_1
284917440100,267.6884,right,SaltShaker_StandingTable_1
284933527800,267.7024,right,SaltShaker_StandingTable_1
284946091300,267.7165,right,SaltShaker_StandingTable_1
284959322200,267.7303,right,SaltShaker_StandingTable_1
284973680000,267.7444,right,SaltShaker_StandingTable_1
284988165900,267.7584,right,SaltShaker_StandingTable_1
285001095000,267.7719,right,SaltShaker_StandingTable_1
285015212600,267.7860,right,SaltShaker_StandingTable_1
285029931800,267.8007,right,SaltShaker_StandingTable_1
285043297400,267.8141,right,SaltShaker_StandingTable_1
285056991000,267.8279,right,SaltShaker_StandingTable_1
285070678500,267.8415,right,SaltShaker_StandingTable_1
285084735100,267.8555,right,SaltShaker_StandingTable_1
285098347900,267.8693,right,SaltShaker_StandingTable_1
285114326600,267.8850,right,SaltShaker_StandingTable_1
285130620900,267.9014,right,SaltShaker_StandingTable_1
285145832500,267.9166,right,SaltShaker_StandingTable_1
285161700800,267.9327,right,SaltShaker_StandingTable_1
285176568200,267.9472,right,SaltShaker_StandingTable_1
285191657400,267.9624,right,SaltShaker_StandingTable_1
285206033900,267.9768,right,SaltShaker_StandingTable_1
285220625400,267.9916,right,SaltShaker_StandingTable_1
285235109700,268.0058,right,SaltShaker_StandingTable_1
285249904600,268.0206,right,SaltShaker_StandingTable_1
285263867200,268.0346,right,SaltShaker_StandingTable_1
285277618100,268.0486,right,SaltShaker_StandingTable_1
