timeStampNs,gameTime,hand,objectName
92543814300,88.3358,right,SaltShaker_StandingTable_1
92557394900,88.3496,right,SaltShaker_StandingTable_1
92571607300,88.3637,right,SaltShaker_StandingTable_1
92585891200,88.3779,right,SaltShaker_StandingTable_1
92599148400,88.3913,right,SaltShaker_StandingTable_1
92613188700,88.4053,right,SaltShaker_StandingTable_1
92627162000,88.4193,right,SaltShaker_StandingTable_1
92640893000,88.4330,right,SaltShaker_StandingTable_1
92654236000,88.4464,right,SaltShaker_StandingTable_1
92668268500,88.4604,right,SaltShaker_StandingTable_1
92682359800,88.4745,right,SaltShaker_StandingTable_1
92696285800,88.4885,right,SaltShaker_StandingTable_1
92710506300,88.5025,right,SaltShaker_StandingTable_1
92725787300,88.5161,right,SaltShaker_StandingTable_1
92850829500,88.6428,right,Vase_3
92864086200,88.6560,right,Vase_3
92877980900,88.6701,right,Vase_3
92892410600,88.6843,right,Vase_3
92906129500,88.6980,right,Vase_3
92919505000,88.7116,right,Vase_3
92933303700,88.7252,right,Vase_3
92947007800,88.7390,right,Vase_3
92961180200,88.7532,right,Vase_3
92974645900,88.7669,right,Vase_3
92988920100,88.7809,right,Vase_3
93002700600,88.7948,right,Vase_3
93016359900,88.8086,right,Vase_3
93030571100,88.8226,right,Vase_3
93044788700,88.8367,right,Vase_3
93058326200,88.8505,right,Vase_3
93072496000,88.8644,right,Vase_3
93086290500,88.8782,right,Vase_3
93099952800,88.8920,right,Vase_3
93114150900,88.9061,right,Vase_3
93128121700,88.9201,right,Vase_3
93142098000,88.9340,right,Vase_3
93155884700,88.9480,right,Vase_3
93169953000,88.9619,right,Vase_3
93183880900,88.9758,right,Vase_3
93198156500,88.9902,right,Vase_3
93211986800,89.0039,right,Vase_3
93225645700,89.0175,right,Vase_3
93239052800,89.0312,right,Vase_3
93253346300,89.0453,right,Vase_3
93267301900,89.0592,right,Vase_3
93281579600,89.0735,right,Vase_3
93295017400,89.0872,right,Vase_3
93309139300,89.1010,right,Vase_3
93323294000,89.1151,right,Vase_3
93337045000,89.1292,right,Vase_3
93350994700,89.1429,right,Vase_3
93365679600,89.1576,right,Vase_3
93378686200,89.1708,right,Vase_3
93392878600,89.1848,right,Vase_3
93406760000,89.1987,right,Vase_3
93420822900,89.2128,right,Vase_3
93434508200,89.2266,right,Vase_3
93448982700,89.2409,right,Vase_3
93462562500,89.2545,right,Vase_3
93476290100,89.2684,right,Vase_3
93490419800,89.2823,right,Vase_3
93504188300,89.2961,right,Vase_3
93517916000,89.3101,right,Vase_3
93532865200,89.3248,right,Vase_3
93546196100,89.3381,right,Vase_3
93559613300,89.3518,right,Vase_3
93573773300,89.3657,right,Vase_3
93587825700,89.3798,right,Vase_3
93601956100,89.3938,right,Vase_3
93615516900,89.4077,right,Vase_3
93629561700,89.4215,right,Vase_3
93643317100,89.4352,right,Vase_3
93657861100,89.4500,right,Vase_3
93671280000,89.4633,right,Vase_3
93685256800,89.4773,right,Vase_3
93698982900,89.4912,right,Vase_3
93713170400,89.5052,right,Vase_3
93726962200,89.5190,right,Vase_3
93741184700,89.5332,right,Vase_3
93754656700,89.5468,right,Vase_3
93768841300,89.5608,right,Vase_3
93782990700,89.5750,right,Vase_3
93797001200,89.5892,right,Vase_3
93811303800,89.6032,right,Vase_3
93825025900,89.6169,right,Vase_3
93838544200,89.6307,right,Vase_3
93852517900,89.6445,right,Vase_3
93868397500,89.6604,right,Vase_3
93883132200,89.6750,right,Vase_3
93896000900,89.6882,right,Vase_3
93909751400,89.7017,right,Vase_3
93923222500,89.7152,right,Vase_3
93937385300,89.7295,right,Vase_3
93950704600,89.7428,right,Vase_3
93964806400,89.7569,right,Vase_3
93977976300,89.7702,right,Vase_3
93992024300,89.7840,right,Vase_3
94005603000,89.7977,right,Vase_3
94019436500,89.8117,right,Vase_3
94033569000,89.8256,right,Vase_3
94047464600,89.8394,right,Vase_3
94061527900,89.8536,right,Vase_3
94075245100,89.8674,right,Vase_3
94089930500,89.8820,right,Vase_3
94103875100,89.8958,right,Vase_3
94118223700,89.9105,right,Vase_3
94131515600,89.9236,right,Vase_3
94145510800,89.9375,right,Vase_3
94159291000,89.9515,right,Vase_3
94173489000,89.9655,right,Vase_3
94187579800,89.9796,right,Vase_3
94201224000,89.9933,right,Vase_3
94215107800,90.0073,right,Vase_3
94228938600,90.0210,right,Vase_3
94243049100,90.0351,right,Vase_3
94256959500,90.0492,right,Vase_3
94271504300,90.0635,right,Vase_3
94284773800,90.0768,right,Vase_3
94298897400,90.0911,right,Vase_3
94312782200,90.1048,right,Vase_3
94327190200,90.1191,right,Vase_3
94340915600,90.1330,right,Vase_3
94354484900,90.1467,right,Vase_3
94368393000,90.1605,right,Vase_3
94382590800,90.1746,right,Vase_3
94396407300,90.1886,right,Vase_3
94410375400,90.2025,right,Vase_3
94424348500,90.2164,right,Vase_3
94438243400,90.2304,right,Vase_3
94452295600,90.2444,right,Vase_3
94465828900,90.2579,right,Vase_3
94479649000,90.2719,right,Vase_3
94493640800,90.2856,right,Vase_3
94507815800,90.2999,right,Vase_3
94521283000,90.3134,right,Vase_3
94535480900,90.3276,right,Vase_3
94549704000,90.3416,right,Vase_3
