timeStampNs,gameTime,hand,objectName
115152240000,98.0685,left,SaltShaker_StandingTable_1
115165962400,98.0822,left,SaltShaker_StandingTable_1
115180112100,98.0964,left,SaltShaker_StandingTable_1
115193974600,98.1104,left,SaltShaker_StandingTable_1
115207705500,98.1239,left,SaltShaker_StandingTable_1
115221589700,98.1378,left,SaltShaker_StandingTable_1
115234985600,98.1514,left,SaltShaker_StandingTable_1
115249143600,98.1653,left,SaltShaker_StandingTable_1
115263051200,98.1793,left,SaltShaker_StandingTable_1
115277192100,98.1935,left,SaltShaker_StandingTable_1
115291263400,98.2075,left,SaltShaker_StandingTable_1
115305323900,98.2215,left,SaltShaker_StandingTable_1
115318882000,98.2353,left,SaltShaker_StandingTable_1
115333087000,98.2492,left,SaltShaker_StandingTable_1
115346912800,98.2632,left,SaltShaker_StandingTable_1
115361062400,98.2773,left,SaltShaker_StandingTable_1
115374834000,98.2912,left,SaltShaker_StandingTable_1
115388749100,98.3049,left,SaltShaker_StandingTable_1
115402613500,98.3189,left,SaltShaker_StandingTable_1
115416606900,98.3330,left,SaltShaker_StandingTable_1
115430489300,98.3467,left,SaltShaker_StandingTable_1
115444300000,98.3605,left,SaltShaker_StandingTable_1
115458232300,98.3746,left,SaltShaker_StandingTable_1
115472453600,98.3886,left,SaltShaker_StandingTable_1
115486296900,98.4025,left,SaltShaker_StandingTable_1
115500301100,98.4164,left,SaltShaker_StandingTable_1
115513757100,98.4301,left,SaltShaker_StandingTable_1
115528266000,98.4444,left,SaltShaker_StandingTable_1
115541985300,98.4582,left,SaltShaker_StandingTable_1
115555557300,98.4719,left,SaltShaker_StandingTable_1
115569642500,98.4859,left,SaltShaker_StandingTable_1
115583776200,98.5000,left,SaltShaker_StandingTable_1
115597670600,98.5141,left,SaltShaker_StandingTable_1
115612800300,98.5289,left,SaltShaker_StandingTable_1
115625986600,98.5421,left,SaltShaker_StandingTable_1
115639550600,98.5558,left,SaltShaker_StandingTable_1
115652979900,98.5694,left,SaltShaker_StandingTable_1
115667428900,98.5836,left,SaltShaker_StandingTable_1
115681445300,98.5977,left,SaltShaker_StandingTable_1
115695031400,98.6114,left,SaltShaker_StandingTable_1
115709567700,98.6258,left,SaltShaker_StandingTable_1
115723142900,98.6393,left,SaltShaker_StandingTable_1
115736814200,98.6532,left,SaltShaker_StandingTable_1
115750920800,98.6671,left,SaltShaker_StandingTable_1
115764870200,98.6811,left,SaltShaker_StandingTable_1
115778833800,98.6951,left,SaltShaker_StandingTable_1
115792791100,98.7090,left,SaltShaker_StandingTable_1
115806810300,98.7229,left,SaltShaker_StandingTable_1
115820689700,98.7369,left,SaltShaker_StandingTable_1
115834356100,98.7507,left,SaltShaker_StandingTable_1
115848505900,98.7647,left,SaltShaker_StandingTable_1
115862429500,98.7786,left,SaltShaker_StandingTable_1
115875876600,98.7923,left,SaltShaker_StandingTable_1
115889979200,98.8061,left,SaltShaker_StandingTable_1
115904367000,98.8206,left,SaltShaker_StandingTable_1
115917940500,98.8343,left,SaltShaker_StandingTable_1
115932173200,98.8483,left,SaltShaker_StandingTable_1
115946509300,98.8626,left,SaltShaker_StandingTable_1
115959880200,98.8761,left,SaltShaker_StandingTable_1
115973291100,98.8897,left,SaltShaker_StandingTable_1
115987420600,98.9036,left,SaltShaker_StandingTable_1
116002129100,98.9183,left,SaltShaker_StandingTable_1
116015376700,98.9318,left,SaltShaker_StandingTable_1
116029542600,98.9457,left,SaltShaker_StandingTable_1
116043598100,98.9598,left,SaltShaker_StandingTable_1
116057528500,98.9738,left,SaltShaker_StandingTable_1
116071392400,98.9876,left,SaltShaker_StandingTable_1
116085105900,99.0014,left,SaltShaker_StandingTable_1
116098936800,99.0153,left,SaltShaker_StandingTable_1
116113125500,99.0293,left,SaltShaker_StandingTable_1
116127370300,99.0435,left,SaltShaker_StandingTable_1
116140834400,99.0570,left,SaltShaker_StandingTable_1
116154256100,99.0707,left,SaltShaker_StandingTable_1
116168730700,99.0849,left,SaltShaker_StandingTable_1
116182829400,99.0990,left,SaltShaker_StandingTable_1
116196401600,99.1128,left,SaltShaker_StandingTable_1
116210568500,99.1268,left,SaltShaker_StandingTable_1
116224560600,99.1407,left,SaltShaker_StandingTable_1
