timeStampNs,gameTime,hand,objectName
101395864700,88.8102,right,PepperShaker_StandingTable_1
101409444600,88.8236,right,PepperShaker_StandingTable_1
101423832200,88.8380,right,PepperShaker_StandingTable_1
101437218700,88.8514,right,PepperShaker_StandingTable_1
101451619700,88.8657,right,PepperShaker_StandingTable_1
101465419000,88.8796,right,PepperShaker_StandingTable_1
101479372500,88.8935,right,PepperShaker_StandingTable_1
101492908600,88.9071,right,PepperShaker_StandingTable_1
101507217600,88.9214,right,PepperShaker_StandingTable_1
101521080600,88.9352,right,PepperShaker_StandingTable_1
101534810000,88.9491,right,PepperShaker_StandingTable_1
101549042000,88.9631,right,PepperShaker_StandingTable_1
101562736700,88.9768,right,PepperShaker_StandingTable_1
