timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
30349000,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
920182500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
945949600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
997430800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1009274600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1023315100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1036759100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1050899200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1065169800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1078809300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1092232300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1106751200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1120416400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1134108900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1148183200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1162212200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1176065600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1190063000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1204281600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1217703800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1231635900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1245604300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1259498300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1273385100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1287364900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1301900000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1315108900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1329033900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1343115700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1356953100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1371001300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1385018000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1398763200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1412437700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1426624400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1440496700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1454253600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1468288900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1482480900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1496111100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1510012800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1523972600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1537846800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1551704200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1565690800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1579582000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1593418100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1607505500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1621554800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1635138700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1649460900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1663250600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1676957000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1691123400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1711247400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1745423400,0.0000,-2.2964,1.6805,-0.6481,7.7184,86.6314,359.9327,
1775453900,0.0000,-2.2968,1.6800,-0.6477,7.6984,86.5381,0.0303,
1795644600,0.0000,-2.2969,1.6797,-0.6466,7.7991,86.3458,0.1670,
1889688400,0.0000,-2.2971,1.6796,-0.6457,7.7650,86.1521,0.2208,
1930427400,0.0000,-2.2973,1.6800,-0.6435,7.7493,85.9385,0.2741,
1958121800,0.0000,-2.2968,1.6805,-0.6433,7.7454,86.0362,0.4519,
1985867500,0.0000,-2.2961,1.6808,-0.6433,7.6744,86.1157,0.4328,
2013624100,0.0000,-2.2956,1.6809,-0.6433,7.7410,86.1231,0.3296,
2029748300,0.0000,-2.2946,1.6806,-0.6431,7.9576,86.1853,0.2080,
2041558100,0.0000,-2.2944,1.6808,-0.6433,8.0194,86.1777,0.2529,
2055562500,0.0000,-2.2939,1.6809,-0.6434,8.0704,86.1738,0.3436,
2069673300,0.0000,-2.2933,1.6810,-0.6436,8.0786,86.1855,0.3540,
2083413700,0.0000,-2.2930,1.6808,-0.6436,8.1051,86.2584,0.2732,
2097251100,0.0000,-2.2928,1.6804,-0.6437,8.2313,86.3341,0.1343,
2111532800,0.0000,-2.2926,1.6802,-0.6438,8.3778,86.4178,0.0547,
2124988200,0.0000,-2.2924,1.6805,-0.6441,8.3892,86.4635,0.0509,
2138866200,0.0000,-2.2919,1.6807,-0.6444,8.3259,86.5667,0.0081,
2153245400,0.0000,-2.2915,1.6809,-0.6447,8.2058,86.6860,359.9583,
2167049400,0.0000,-2.2909,1.6810,-0.6450,8.0812,86.7762,359.9202,
2181016500,0.0000,-2.2906,1.6807,-0.6452,8.0237,86.9287,359.8392,
2194478700,0.0000,-2.2904,1.6804,-0.6454,8.1026,87.0719,359.7363,
2209212100,0.0000,-2.2902,1.6801,-0.6456,8.2489,87.2135,359.6568,
2222389800,0.0000,-2.2899,1.6801,-0.6459,8.3945,87.3328,359.6659,
2236485400,0.0000,-2.2894,1.6804,-0.6462,8.4301,87.4402,359.6331,
2250672500,0.0000,-2.2889,1.6809,-0.6464,8.3845,87.5707,359.5685,
2263894600,0.0000,-2.2883,1.6811,-0.6466,8.2468,87.7121,359.4386,
2277957500,0.0000,-2.2879,1.6811,-0.6468,8.1188,87.8406,359.2976,
