timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
32074800,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
926558100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
961550400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
994695500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1006165100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1019444800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1033973600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1047849100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1061337800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1075682000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1089660900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1103113600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1116577800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1131634300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1145184200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1158439600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1173065200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1187031800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1199655600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1213870500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1228968600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1242665700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1255370600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1269587000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1284707000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1298327000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1311539100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1325868700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1340051800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1354087700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1366920400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1380929400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1395651100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1410043800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1422669700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1437202800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1451506000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1465465400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1478221100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1492666900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1507196200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1521124800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1534851300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1549007000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1562557400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1576113200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1590762900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1604896400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1617648500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1631523300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1645939700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1660494400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1674367800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1688230300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1708386000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1744206400,0.0000,-2.3039,1.6022,-0.2857,7.0527,88.9776,359.0953,
1780310500,0.0000,-2.3038,1.6024,-0.2857,7.0992,88.9705,359.0428,
1808886000,0.0000,-2.3035,1.6026,-0.2861,7.1592,88.8967,358.9898,
1917765800,0.0000,-2.3031,1.6029,-0.2865,7.0282,88.8477,358.8794,
1932478400,0.0000,-2.3025,1.6031,-0.2869,6.9390,88.8488,358.8076,
1947858200,0.0000,-2.3022,1.6031,-0.2870,6.9257,88.8665,358.8190,
1964290600,0.0000,-2.3021,1.6031,-0.2871,6.9248,88.8618,358.8224,
1979437300,0.0000,-2.3018,1.6032,-0.2871,6.9287,88.8288,358.8216,
1993843200,0.0000,-2.3016,1.6033,-0.2872,6.9411,88.8083,358.8396,
2007162800,0.0000,-2.3014,1.6033,-0.2873,6.9749,88.7700,358.8537,
2021165500,0.0000,-2.3012,1.6033,-0.2873,6.9838,88.7541,358.8358,
2034382700,0.0000,-2.3010,1.6034,-0.2874,6.9707,88.7243,358.8051,
2048757900,0.0000,-2.3009,1.6035,-0.2876,6.9376,88.7055,358.8000,
2062207200,0.0000,-2.3007,1.6036,-0.2878,6.8808,88.7378,358.7705,
2076359900,0.0000,-2.3005,1.6037,-0.2880,6.8592,88.7481,358.7758,
2090517100,0.0000,-2.3003,1.6037,-0.2882,6.8455,88.7820,358.7472,
2104111300,0.0000,-2.3002,1.6037,-0.2884,6.8359,88.8292,358.7014,
2117755700,0.0000,-2.3000,1.6038,-0.2886,6.7702,88.8357,358.7158,
2131843000,0.0000,-2.2997,1.6039,-0.2887,6.6829,88.8576,358.7487,
2146098300,0.0000,-2.2995,1.6040,-0.2889,6.7205,88.9194,358.6923,
2159713700,0.0000,-2.2993,1.6039,-0.2891,6.7978,89.0122,358.5648,
2173898600,0.0000,-2.2992,1.6040,-0.2892,6.8110,89.0496,358.5705,
2187844500,0.0000,-2.2990,1.6040,-0.2895,6.8155,89.0452,358.6686,
2201981700,0.0000,-2.2989,1.6041,-0.2897,6.8247,89.0735,358.6843,
2215271000,0.0000,-2.2987,1.6042,-0.2897,6.8458,89.0837,358.6841,
2230285100,0.0000,-2.2986,1.6042,-0.2898,6.8907,89.0797,358.7161,
2243502700,0.0000,-2.2985,1.6042,-0.2898,6.8845,89.0822,358.7167,
2257153000,0.0000,-2.2983,1.6042,-0.2898,6.8519,89.0837,358.7391,
2271565700,0.0000,-2.2981,1.6042,-0.2898,6.8028,89.0759,358.7313,
2284991000,0.0000,-2.2980,1.6043,-0.2898,6.7561,89.0666,358.7277,
2298942300,0.0000,-2.2978,1.6043,-0.2899,6.7434,89.0521,358.7256,
2312991000,0.0000,-2.2977,1.6041,-0.2899,6.7798,89.0274,358.7377,
2327986900,0.0000,-2.2976,1.6041,-0.2899,6.8044,89.0095,358.7333,
2342712000,0.0000,-2.2975,1.6040,-0.2899,6.8252,88.9716,358.7364,
2355506200,0.0000,-2.2974,1.6040,-0.2899,6.8578,88.9441,358.7432,
2368949900,0.0000,-2.2973,1.6040,-0.2899,6.9206,88.9100,358.7729,
2382994100,0.0000,-2.2972,1.6041,-0.2899,6.9556,88.8839,358.7631,
2397083500,0.0000,-2.2971,1.6042,-0.2899,6.9331,88.8622,358.6917,
2410751400,0.0000,-2.2971,1.6042,-0.2899,6.8922,88.8442,358.6873,
2424984600,0.0000,-2.2971,1.6042,-0.2899,6.9083,88.8518,358.7006,
2438709900,0.0000,-2.2972,1.6042,-0.2900,6.9091,88.8723,358.7091,
2452300700,0.0000,-2.2972,1.6041,-0.2900,6.9082,88.9033,358.6996,
2466423300,0.0000,-2.2973,1.6041,-0.2901,6.8991,88.9263,358.7083,
2480051900,0.0000,-2.2973,1.6041,-0.2900,6.8423,88.9360,358.7556,
2494401200,0.0000,-2.2974,1.6042,-0.2900,6.7583,88.9214,358.8256,
2508242700,0.0000,-2.2975,1.6043,-0.2899,6.6501,88.8795,358.9041,
2522618700,0.0000,-2.2975,1.6045,-0.2898,6.5872,88.8390,358.9864,
2536301300,0.0000,-2.2975,1.6046,-0.2898,6.5625,88.7764,359.0895,
2550501200,0.0000,-2.2977,1.6046,-0.2897,6.5379,88.7320,359.1088,
2564716300,0.0000,-2.2978,1.6047,-0.2896,6.5112,88.6698,359.1091,
2578018700,0.0000,-2.2979,1.6048,-0.2896,6.4724,88.5968,359.1017,
2591842800,0.0000,-2.2979,1.6049,-0.2897,6.4528,88.5194,359.1055,
2606009700,0.0000,-2.2980,1.6050,-0.2897,6.4350,88.4853,359.0815,
2620386600,0.0000,-2.2981,1.6051,-0.2898,6.4389,88.4754,359.0143,
2634416700,0.0000,-2.2982,1.6052,-0.2898,6.4161,88.4470,358.9637,
2647765500,0.0000,-2.2983,1.6053,-0.2900,6.3957,88.4564,358.9300,
2661463500,0.0000,-2.2984,1.6054,-0.2901,6.3798,88.4701,358.9120,
2674856900,0.0000,-2.2985,1.6055,-0.2902,6.3641,88.5015,358.8600,
2689316200,0.0000,-2.2987,1.6056,-0.2903,6.3167,88.5438,358.8192,
2703102400,0.0000,-2.2988,1.6056,-0.2903,6.2755,88.5546,358.8033,
2717136200,0.0000,-2.2988,1.6058,-0.2903,6.1016,88.5944,358.9360,
2730873200,0.0000,-2.2989,1.6060,-0.2902,5.9905,88.5795,359.0491,
2745337400,0.0000,-2.2989,1.6062,-0.2901,5.8984,88.5773,359.0941,
2758833100,0.0000,-2.2990,1.6064,-0.2900,5.8480,88.5755,359.1495,
2773143800,0.0000,-2.2990,1.6064,-0.2899,5.8061,88.5065,359.2395,
2787025400,0.0000,-2.2991,1.6064,-0.2899,5.7739,88.4556,359.3060,
2800828100,0.0000,-2.2991,1.6065,-0.2899,5.7648,88.4586,359.2388,
2814686800,0.0000,-2.2991,1.6066,-0.2898,5.7104,88.5011,359.1361,
2828760700,0.0000,-2.2991,1.6068,-0.2897,5.6165,88.5346,359.2120,
2842295800,0.0000,-2.2991,1.6070,-0.2897,5.5562,88.5469,359.2942,
2856625600,0.0000,-2.2992,1.6070,-0.2897,5.5236,88.5909,359.3627,
2870395600,0.0000,-2.2994,1.6071,-0.2896,5.5486,88.6383,359.3653,
2884378700,0.0000,-2.2995,1.6072,-0.2895,5.5106,88.6896,359.3523,
2898099400,0.0000,-2.2995,1.6074,-0.2894,5.3418,88.7290,359.4003,
2912241900,0.0000,-2.2995,1.6077,-0.2893,5.0779,88.7660,359.5223,
2925974900,0.0000,-2.2995,1.6079,-0.2893,4.9512,88.8154,359.5871,
2940180100,0.0000,-2.2996,1.6081,-0.2892,4.8918,88.8669,359.6264,
2953870800,0.0000,-2.2997,1.6083,-0.2891,4.8461,88.9111,359.6672,
2967805300,0.0000,-2.2999,1.6086,-0.2889,4.7393,88.9369,359.7077,
2981621800,0.0000,-2.3000,1.6090,-0.2887,4.5284,88.9689,359.7610,
2996168400,0.0000,-2.3002,1.6094,-0.2884,4.3975,88.9713,359.8214,
3009794800,0.0000,-2.3004,1.6097,-0.2881,4.3006,88.9900,359.8421,
3024126800,0.0000,-2.3005,1.6101,-0.2881,4.1922,89.0240,359.8339,
3038935400,0.0000,-2.3007,1.6107,-0.2879,4.0380,89.1029,359.7922,
3052010800,0.0000,-2.3009,1.6112,-0.2877,3.8230,89.1571,359.8291,
3065738300,0.0000,-2.3012,1.6116,-0.2876,3.6070,89.2057,359.8838,
3080106600,0.0000,-2.3015,1.6119,-0.2874,3.4512,89.2553,359.8998,
3093627200,0.0000,-2.3018,1.6122,-0.2873,3.3034,89.3136,359.8858,
3107192200,0.0000,-2.3019,1.6127,-0.2871,3.1636,89.4220,359.8406,
3121332600,0.0000,-2.3020,1.6135,-0.2871,2.9674,89.5191,359.8432,
3135105700,0.0000,-2.3021,1.6143,-0.2870,2.7067,89.6064,359.8633,
3148869900,0.0000,-2.3021,1.6148,-0.2870,2.4923,89.6830,359.8973,
3163452000,0.0000,-2.3025,1.6150,-0.2871,2.3055,89.7605,0.0168,
3176903900,0.0000,-2.3027,1.6154,-0.2872,2.2061,89.8629,0.0355,
3190984600,0.0000,-2.3029,1.6161,-0.2874,2.0454,90.0114,359.9825,
3204725300,0.0000,-2.3031,1.6165,-0.2875,1.8274,90.1776,359.9051,
3218460500,0.0000,-2.3033,1.6170,-0.2877,1.6208,90.3878,359.7800,
3233092700,0.0000,-2.3035,1.6174,-0.2878,1.4349,90.5815,359.6722,
3246921100,0.0000,-2.3036,1.6178,-0.2879,1.3093,90.8079,359.4982,
3260789600,0.0000,-2.3041,1.6176,-0.2881,1.1724,90.9656,359.4551,
3274336500,0.0000,-2.3045,1.6177,-0.2883,1.1715,91.0756,359.4762,
3288245100,0.0000,-2.3047,1.6182,-0.2884,1.1737,91.1728,359.4754,
3302427600,0.0000,-2.3049,1.6186,-0.2885,1.1360,91.2494,359.4492,
3316709800,0.0000,-2.3052,1.6187,-0.2885,1.1300,91.3312,359.3861,
3330238800,0.0000,-2.3054,1.6187,-0.2886,1.1953,91.4201,359.3083,
3343912300,0.0000,-2.3057,1.6188,-0.2887,1.2842,91.5001,359.2357,
3358244300,0.0000,-2.3058,1.6192,-0.2888,1.3130,91.5519,359.2266,
3371754500,0.0000,-2.3059,1.6194,-0.2890,1.2304,91.5767,359.2288,
