timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
32713800,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
949812900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
984039900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1022793900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1033512900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1046695100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1061439300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1075273900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1089338900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1102788300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1117217400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1131030200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1144687300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1157965000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1173192600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1186306600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1200503600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1214400300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1228186400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1242056400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1256157100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1270004100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1283687400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1297887800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1311826900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1325450000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1339637000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1353976000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1367546800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1381090000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1395466800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1409164000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1422937500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1437149900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1450895900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1464952300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1479042100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1492834400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1506815900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1520919000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1534526700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1548319400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1562340800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1576415100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1590063900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1604158200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1617916400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1631983600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1645692300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1659687800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1673649200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1688021700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1701329600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1715504100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1729446800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1749035800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1784718400,0.0000,-2.4533,1.6392,-0.2649,0.8507,134.5786,358.3882,
1809880100,0.0000,-2.4530,1.6392,-0.2649,0.8760,134.5612,358.3896,
1821775400,0.0000,-2.4527,1.6391,-0.2650,0.9579,134.5351,358.3627,
1930925100,0.0000,-2.4523,1.6389,-0.2651,1.0506,134.4881,358.4133,
1971615800,0.0000,-2.4510,1.6386,-0.2652,1.1081,134.4242,358.4878,
1998532900,0.0000,-2.4507,1.6385,-0.2653,1.1511,134.4050,358.4656,
2025426700,0.0000,-2.4506,1.6384,-0.2653,1.2081,134.4252,358.4225,
2055321800,0.0000,-2.4505,1.6383,-0.2653,1.2196,134.4441,358.4325,
2068718000,0.0000,-2.4504,1.6382,-0.2654,1.2254,134.4402,358.4457,
2081085800,0.0000,-2.4502,1.6382,-0.2654,1.2314,134.4402,358.4509,
2095298400,0.0000,-2.4501,1.6383,-0.2653,1.2315,134.4204,358.4697,
2108791000,0.0000,-2.4499,1.6383,-0.2653,1.2436,134.4109,358.4891,
2122582500,0.0000,-2.4497,1.6383,-0.2654,1.2612,134.3959,358.4992,
2136985300,0.0000,-2.4495,1.6382,-0.2654,1.2985,134.3854,358.4942,
2150704000,0.0000,-2.4495,1.6382,-0.2654,1.3178,134.3745,358.4905,
2164614700,0.0000,-2.4493,1.6381,-0.2654,1.3563,134.3349,358.4821,
2178052000,0.0000,-2.4491,1.6381,-0.2655,1.3495,134.2862,358.4604,
2192369900,0.0000,-2.4488,1.6381,-0.2655,1.3353,134.2117,358.4408,
2205831600,0.0000,-2.4486,1.6380,-0.2656,1.3149,134.0818,358.4388,
