timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
63617900,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
1720676700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1773640100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1819058500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1828105400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1842614900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1856415700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1869237000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1884164100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1897724300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1910866900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1925970700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1939361200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1952671800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1967113200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1981027400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1994722400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
2008827500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
2022973100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
2036660200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
2050297700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
2064303800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
2078565800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
