timeStampNs,gameTime,hand,objectName
164189460100,160.6660,left,SaltShaker_StandingTable_1
164203141200,160.6799,left,SaltShaker_StandingTable_1
164217042200,160.6936,left,SaltShaker_StandingTable_1
164230932800,160.7076,left,SaltShaker_StandingTable_1
164244588600,160.7213,left,SaltShaker_StandingTable_1
164258713600,160.7353,left,SaltShaker_StandingTable_1
164273185000,160.7496,left,SaltShaker_StandingTable_1
164286524700,160.7631,left,SaltShaker_StandingTable_1
164300316300,160.7771,left,SaltShaker_StandingTable_1
164314369000,160.7910,left,SaltShaker_StandingTable_1
164328287600,160.8048,left,SaltShaker_StandingTable_1
164342327500,160.8191,left,SaltShaker_StandingTable_1
164356769200,160.8334,left,SaltShaker_StandingTable_1
164370368300,160.8470,left,SaltShaker_StandingTable_1
164384183000,160.8609,left,SaltShaker_StandingTable_1
164398147300,160.8748,left,SaltShaker_StandingTable_1
164412071100,160.8887,left,SaltShaker_StandingTable_1
164426094200,160.9027,left,SaltShaker_StandingTable_1
164439909400,160.9166,left,SaltShaker_StandingTable_1
164454195100,160.9308,left,SaltShaker_StandingTable_1
164467997100,160.9446,left,SaltShaker_StandingTable_1
164481369200,160.9581,left,SaltShaker_StandingTable_1
164495343900,160.9719,left,SaltShaker_StandingTable_1
164511388700,160.9862,left,SaltShaker_StandingTable_1
164523359500,161.0001,left,SaltShaker_StandingTable_1
164537428500,161.0138,left,SaltShaker_StandingTable_1
164551059900,161.0276,left,SaltShaker_StandingTable_1
164565261100,161.0420,left,SaltShaker_StandingTable_1
164607128000,161.0836,left,SaltShaker_StandingTable_1
164620509800,161.0973,left,SaltShaker_StandingTable_1
164634998500,161.1112,left,SaltShaker_StandingTable_1
164648747000,161.1253,left,SaltShaker_StandingTable_1
164662944100,161.1396,left,SaltShaker_StandingTable_1
164676584800,161.1531,left,SaltShaker_StandingTable_1
164690484900,161.1670,left,SaltShaker_StandingTable_1
164704086100,161.1808,left,SaltShaker_StandingTable_1
164718546400,161.1951,left,SaltShaker_StandingTable_1
164732046500,161.2086,left,SaltShaker_StandingTable_1
164745970600,161.2226,left,SaltShaker_StandingTable_1
164760396200,161.2371,left,SaltShaker_StandingTable_1
164774480100,161.2509,left,SaltShaker_StandingTable_1
164788028800,161.2646,left,SaltShaker_StandingTable_1
164801822600,161.2786,left,SaltShaker_StandingTable_1
164815882400,161.2924,left,SaltShaker_StandingTable_1
164829960300,161.3064,left,SaltShaker_StandingTable_1
164843605600,161.3204,left,SaltShaker_StandingTable_1
164857771700,161.3344,left,SaltShaker_StandingTable_1
164871548300,161.3481,left,SaltShaker_StandingTable_1
164885055800,161.3617,left,SaltShaker_StandingTable_1
164899397300,161.3760,left,SaltShaker_StandingTable_1
164913135600,161.3897,left,SaltShaker_StandingTable_1
164927035800,161.4036,left,SaltShaker_StandingTable_1
164941081300,161.4178,left,SaltShaker_StandingTable_1
164955076000,161.4317,left,SaltShaker_StandingTable_1
164968680300,161.4453,left,SaltShaker_StandingTable_1
164982766900,161.4595,left,SaltShaker_StandingTable_1
164997001000,161.4735,left,SaltShaker_StandingTable_1
165010539700,161.4871,left,SaltShaker_StandingTable_1
165024885600,161.5016,left,SaltShaker_StandingTable_1
165038692700,161.5153,left,SaltShaker_StandingTable_1
165052597100,161.5291,left,SaltShaker_StandingTable_1
165066700000,161.5433,left,SaltShaker_StandingTable_1
165079986800,161.5567,left,SaltShaker_StandingTable_1
165094255200,161.5708,left,SaltShaker_StandingTable_1
165108368900,161.5849,left,SaltShaker_StandingTable_1
165122109100,161.5988,left,SaltShaker_StandingTable_1
165136253200,161.6129,left,SaltShaker_StandingTable_1
165150149900,161.6267,left,SaltShaker_StandingTable_1
165163986200,161.6407,left,SaltShaker_StandingTable_1
165178455100,161.6550,left,SaltShaker_StandingTable_1
165191832000,161.6684,left,SaltShaker_StandingTable_1
165205547800,161.6823,left,SaltShaker_StandingTable_1
165219841600,161.6964,left,SaltShaker_StandingTable_1
165233642200,161.7102,left,SaltShaker_StandingTable_1
165247554300,161.7242,left,SaltShaker_StandingTable_1
165261441700,161.7382,left,SaltShaker_StandingTable_1
165275458700,161.7520,left,SaltShaker_StandingTable_1
165289424100,161.7659,left,SaltShaker_StandingTable_1
165303189800,161.7799,left,SaltShaker_StandingTable_1
165317256700,161.7938,left,SaltShaker_StandingTable_1
165331167100,161.8077,left,SaltShaker_StandingTable_1
165344837600,161.8216,left,SaltShaker_StandingTable_1
165359468300,161.8360,left,SaltShaker_StandingTable_1
165372985100,161.8495,left,SaltShaker_StandingTable_1
165386916200,161.8634,left,SaltShaker_StandingTable_1
165400599500,161.8773,left,SaltShaker_StandingTable_1
165414912800,161.8915,left,SaltShaker_StandingTable_1
165428481800,161.9051,left,SaltShaker_StandingTable_1
165442308600,161.9190,left,SaltShaker_StandingTable_1
165456550800,161.9330,left,SaltShaker_StandingTable_1
165470711200,161.9473,left,SaltShaker_StandingTable_1
165484086900,161.9608,left,SaltShaker_StandingTable_1
165498412700,161.9748,left,SaltShaker_StandingTable_1
165512088500,161.9887,left,SaltShaker_StandingTable_1
165526045100,162.0026,left,SaltShaker_StandingTable_1
165539776800,162.0165,left,SaltShaker_StandingTable_1
165553902900,162.0304,left,SaltShaker_StandingTable_1
165567902200,162.0444,left,SaltShaker_StandingTable_1
165581606500,162.0583,left,SaltShaker_StandingTable_1
165596014900,162.0726,left,SaltShaker_StandingTable_1
165609923900,162.0864,left,SaltShaker_StandingTable_1
165623517000,162.1003,left,SaltShaker_StandingTable_1
165637916300,162.1145,left,SaltShaker_StandingTable_1
165651350100,162.1279,left,SaltShaker_StandingTable_1
165665265100,162.1420,left,SaltShaker_StandingTable_1
165679323800,162.1559,left,SaltShaker_StandingTable_1
165693078500,162.1697,left,SaltShaker_StandingTable_1
165707017600,162.1836,left,SaltShaker_StandingTable_1
165720755800,162.1974,left,SaltShaker_StandingTable_1
165734749700,162.2113,left,SaltShaker_StandingTable_1
165748605200,162.2252,left,SaltShaker_StandingTable_1
165762548600,162.2393,left,SaltShaker_StandingTable_1
165776541000,162.2531,left,SaltShaker_StandingTable_1
165790313000,162.2669,left,SaltShaker_StandingTable_1
165803939300,162.2807,left,SaltShaker_StandingTable_1
165818093900,162.2947,left,SaltShaker_StandingTable_1
165832123800,162.3086,left,SaltShaker_StandingTable_1
165846098300,162.3226,left,SaltShaker_StandingTable_1
165859648100,162.3364,left,SaltShaker_StandingTable_1
