timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
33367700,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
1130133300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1271558400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1292195500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1304758100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1316279600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1330310200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1344195200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1358088700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1371938500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1385415000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1399981000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1413951100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1427492600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1441524500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1455674600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1469593700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1483395700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1497588100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1511331500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1524911500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1539020500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1552998300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1566678900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1580828500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1594783300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1608813900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1622481300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1636660300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1650273800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1664194400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1678211800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1692130700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1706256000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1719922900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1734036800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1747577000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1761601800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1775818100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1789572800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1803301800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1817394500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1831343500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1845125900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1859061500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1878495300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1923492100,0.0000,-2.4557,0.9303,-0.5361,63.7021,103.9967,43.0809,
1954302200,0.0000,-2.4558,0.9303,-0.5363,63.5222,103.8615,42.9285,
1996599400,0.0000,-2.4570,0.9295,-0.5371,62.9979,103.4344,42.4819,
2022872000,0.0000,-2.4578,0.9296,-0.5374,62.6837,103.1275,42.2672,
2128639100,0.0000,-2.4580,0.9300,-0.5377,62.5658,102.9942,42.2075,
2207601500,0.0000,-2.4549,0.9322,-0.5359,63.0239,105.6431,43.9773,
