timeStampNs,gameTime,hand,objectName
221780513500,213.9870,right,Vase_2
221794233400,214.0010,right,Vase_2
221808427000,214.0150,right,Vase_2
221822217500,214.0288,right,Vase_2
221836839600,214.0434,right,Vase_2
221849930900,214.0567,right,Vase_2
221864285800,214.0708,right,Vase_2
221878131900,214.0847,right,Vase_2
221891747100,214.0985,right,Vase_2
221906308700,214.1129,right,Vase_2
221919762600,214.1264,right,Vase_2
221933305800,214.1402,right,Vase_2
221947441100,214.1540,right,Vase_2
221961409200,214.1680,right,Vase_2
221975292300,214.1819,right,Vase_2
221988907100,214.1957,right,Vase_2
222003187500,214.2096,right,Vase_2
222017314900,214.2239,right,Vase_2
222030947900,214.2377,right,Vase_2
222045014500,214.2515,right,Vase_2
222058837500,214.2654,right,Vase_2
222072628700,214.2794,right,Vase_2
222086651600,214.2933,right,Vase_2
222100631800,214.3072,right,Vase_2
222114288000,214.3210,right,Vase_2
222128414600,214.3350,right,Vase_2
222142390300,214.3489,right,Vase_2
222156101800,214.3627,right,Vase_2
222169987400,214.3767,right,Vase_2
222184101100,214.3906,right,Vase_2
222198040200,214.4046,right,Vase_2
222211672900,214.4184,right,Vase_2
222226167400,214.4327,right,Vase_2
222239579700,214.4461,right,Vase_2
222253738400,214.4605,right,Vase_2
222267532600,214.4741,right,Vase_2
222281422200,214.4879,right,Vase_2
222295388900,214.5020,right,Vase_2
222309390200,214.5161,right,Vase_2
222323386900,214.5300,right,Vase_2
222337252300,214.5438,right,Vase_2
222350978300,214.5577,right,Vase_2
222365054900,214.5715,right,Vase_2
222378980400,214.5856,right,Vase_2
222392903100,214.5996,right,Vase_2
222407015400,214.6136,right,Vase_2
222420772700,214.6273,right,Vase_2
222434676700,214.6413,right,Vase_2
222448543400,214.6552,right,Vase_2
222462954500,214.6695,right,Vase_2
222476649700,214.6832,right,Vase_2
222490325200,214.6971,right,Vase_2
222504400500,214.7109,right,Vase_2
222518195200,214.7248,right,Vase_2
222531968300,214.7387,right,Vase_2
222545989600,214.7525,right,Vase_2
222560133100,214.7667,right,Vase_2
222573658900,214.7805,right,Vase_2
222588133000,214.7947,right,Vase_2
222601689400,214.8083,right,Vase_2
222615758100,214.8222,right,Vase_2
222629387500,214.8362,right,Vase_2
222643543100,214.8501,right,Vase_2
222657866400,214.8644,right,Vase_2
222671132500,214.8778,right,Vase_2
222685257200,214.8917,right,Vase_2
222699054700,214.9056,right,Vase_2
222713345600,214.9201,right,Vase_2
222726953600,214.9335,right,Vase_2
222740763600,214.9474,right,Vase_2
222754761700,214.9614,right,Vase_2
222768404000,214.9752,right,Vase_2
222782379100,214.9889,right,Vase_2
222796571900,215.0032,right,Vase_2
222810778000,215.0175,right,Vase_2
222824550700,215.0311,right,Vase_2
222838363200,215.0448,right,Vase_2
222852054500,215.0588,right,Vase_2
222865972700,215.0726,right,Vase_2
222880447300,215.0870,right,Vase_2
222893833400,215.1005,right,Vase_2
222908019000,215.1146,right,Vase_2
222921963000,215.1286,right,Vase_2
222935838200,215.1423,right,Vase_2
222949502300,215.1562,right,Vase_2
222963943500,215.1704,right,Vase_2
222977676500,215.1843,right,Vase_2
222991345000,215.1981,right,Vase_2
223005655500,215.2122,right,Vase_2
223019205400,215.2258,right,Vase_2
223032966100,215.2397,right,Vase_2
223047233800,215.2538,right,Vase_2
223061114500,215.2676,right,Vase_2
223074699000,215.2813,right,Vase_2
223088753000,215.2955,right,Vase_2
223102458800,215.3090,right,Vase_2
223116835300,215.3233,right,Vase_2
223130156200,215.3369,right,Vase_2
223144143500,215.3507,right,Vase_2
223158100300,215.3647,right,Vase_2
223171935000,215.3785,right,Vase_2
223186392000,215.3929,right,Vase_2
223200050100,215.4066,right,Vase_2
223213788700,215.4205,right,Vase_2
223228053800,215.4345,right,Vase_2
223241528300,215.4481,right,Vase_2
223255579500,215.4621,right,Vase_2
223269315100,215.4760,right,Vase_2
223283759500,215.4902,right,Vase_2
223297387200,215.5040,right,Vase_2
223311519300,215.5182,right,Vase_2
223325682300,215.5322,right,Vase_2
223339261900,215.5457,right,Vase_2
223353356400,215.5601,right,Vase_2
223367525500,215.5741,right,Vase_2
223381442500,215.5880,right,Vase_2
223395276900,215.6017,right,Vase_2
223408719500,215.6154,right,Vase_2
223423123300,215.6296,right,Vase_2
223437127700,215.6436,right,Vase_2
223450580300,215.6572,right,Vase_2
223464710000,215.6712,right,Vase_2
223478828400,215.6854,right,Vase_2
223492766800,215.6995,right,Vase_2
223507141800,215.7135,right,Vase_2
223520376100,215.7269,right,Vase_2
223534476300,215.7410,right,Vase_2
223548482300,215.7552,right,Vase_2
223562441000,215.7689,right,Vase_2
223576903800,215.7834,right,Vase_2
223590333200,215.7970,right,Vase_2
223604695300,215.8112,right,Vase_2
223618106200,215.8246,right,Vase_2
223631982700,215.8387,right,Vase_2
223646605800,215.8531,right,Vase_2
223659879300,215.8664,right,Vase_2
223673783900,215.8804,right,Vase_2
223687841400,215.8943,right,Vase_2
223701801900,215.9083,right,Vase_2
223715565400,215.9221,right,Vase_2
223729396500,215.9360,right,Vase_2
223743236000,215.9497,right,Vase_2
223757242100,215.9638,right,Vase_2
223770546400,215.9772,right,Vase_2
223785257800,215.9916,right,Vase_2
223798802100,216.0053,right,Vase_2
223812554000,216.0193,right,Vase_2
223826921400,216.0334,right,Vase_2
223840931400,216.0473,right,Vase_2
223854774300,216.0613,right,Vase_2
223868942500,216.0756,right,Vase_2
223882711800,216.0892,right,Vase_2
223896549400,216.1030,right,Vase_2
223910425700,216.1171,right,Vase_2
223924571700,216.1310,right,Vase_2
223938459400,216.1449,right,Vase_2
223951997100,216.1586,right,Vase_2
223966137600,216.1726,right,Vase_2
223980234200,216.1867,right,Vase_2
223993992100,216.2007,right,Vase_2
224008133200,216.2145,right,Vase_2
224021981300,216.2285,right,Vase_2
224036029700,216.2425,right,Vase_2
224049637100,216.2563,right,Vase_2
224063670500,216.2701,right,Vase_2
224077755100,216.2843,right,Vase_2
224091446400,216.2981,right,Vase_2
224105664600,216.3121,right,Vase_2
224119591400,216.3260,right,Vase_2
224133229000,216.3399,right,Vase_2
224147603100,216.3541,right,Vase_2
224161292600,216.3677,right,Vase_2
224175229500,216.3816,right,Vase_2
224188937200,216.3956,right,Vase_2
224203388800,216.4098,right,Vase_2
224217361300,216.4237,right,Vase_2
224230645700,216.4373,right,Vase_2
224244757800,216.4512,right,Vase_2
224259230700,216.4656,right,Vase_2
224272535800,216.4792,right,Vase_2
224286610300,216.4930,right,Vase_2
224300319800,216.5068,right,Vase_2
224314140400,216.5208,right,Vase_2
224328397300,216.5349,right,Vase_2
224342428700,216.5488,right,Vase_2
224356629700,216.5632,right,Vase_2
224370295400,216.5770,right,Vase_2
224384054500,216.5905,right,Vase_2
224398309400,216.6046,right,Vase_2
224411855600,216.6185,right,Vase_2
224425927100,216.6324,right,Vase_2
224439714300,216.6462,right,Vase_2
224453625600,216.6602,right,Vase_2
224467646000,216.6741,right,Vase_2
224481659000,216.6880,right,Vase_2
224495539500,216.7020,right,Vase_2
224509335300,216.7159,right,Vase_2
224523022100,216.7294,right,Vase_2
224537066000,216.7436,right,Vase_2
224550846900,216.7574,right,Vase_2
224565342000,216.7716,right,Vase_2
224579328700,216.7857,right,Vase_2
224593105700,216.7997,right,Vase_2
224607300200,216.8137,right,Vase_2
224620972500,216.8273,right,Vase_2
224635008300,216.8413,right,Vase_2
224648661100,216.8552,right,Vase_2
224663002900,216.8694,right,Vase_2
224676736600,216.8830,right,Vase_2
224690526500,216.8971,right,Vase_2
224704459300,216.9108,right,Vase_2
224718387700,216.9247,right,Vase_2
224732200100,216.9387,right,Vase_2
224746421300,216.9528,right,Vase_2
224760052800,216.9664,right,Vase_2
224774082800,216.9806,right,Vase_2
224787980500,216.9943,right,Vase_2
224801977900,217.0084,right,Vase_2
224815753800,217.0222,right,Vase_2
224829396400,217.0360,right,Vase_2
224843814500,217.0500,right,Vase_2
224857678400,217.0641,right,Vase_2
224871343800,217.0779,right,Vase_2
224885355800,217.0918,right,Vase_2
224899833500,217.1061,right,Vase_2
224913614800,217.1202,right,Vase_2
224927068000,217.1335,right,Vase_2
224941598000,217.1480,right,Vase_2
224954690000,217.1611,right,Vase_2
224968627400,217.1752,right,Vase_2
224982924900,217.1893,right,Vase_2
224996615500,217.2030,right,Vase_2
225010577000,217.2171,right,Vase_2
225024538600,217.2309,right,Vase_2
225038549100,217.2449,right,Vase_2
225052289100,217.2588,right,Vase_2
225066620200,217.2729,right,Vase_2
225080293900,217.2866,right,Vase_2
225094129000,217.3007,right,Vase_2
225108217200,217.3145,right,Vase_2
225122324100,217.3286,right,Vase_2
225135794200,217.3422,right,Vase_2
225149656700,217.3562,right,Vase_2
225163735500,217.3701,right,Vase_2
225178199400,217.3843,right,Vase_2
225191493900,217.3981,right,Vase_2
225205623400,217.4118,right,Vase_2
225219398600,217.4258,right,Vase_2
225233389900,217.4398,right,Vase_2
225247477500,217.4537,right,Vase_2
225261332700,217.4677,right,Vase_2
225275324600,217.4816,right,Vase_2
225289027400,217.4954,right,Vase_2
225302990100,217.5092,right,Vase_2
225316931300,217.5233,right,Vase_2
225330807800,217.5373,right,Vase_2
225344992900,217.5512,right,Vase_2
225358746100,217.5651,right,Vase_2
225372229800,217.5788,right,Vase_2
225386574900,217.5929,right,Vase_2
225400626200,217.6068,right,Vase_2
225414666200,217.6210,right,Vase_2
