timeStampNs,gameTime,hand,objectName
68936280400,57.9020,left,Vase_1
68949945700,57.9159,left,Vase_1
68964245200,57.9301,left,Vase_1
68978202800,57.9440,left,Vase_1
68991737100,57.9575,left,Vase_1
69005900200,57.9718,left,Vase_1
69019244100,57.9850,left,Vase_1
69033526300,57.9993,left,Vase_1
69047172400,58.0130,left,Vase_1
69061040500,58.0268,left,Vase_1
69075280100,58.0411,left,Vase_1
69089113100,58.0551,left,Vase_1
69104009700,58.0696,left,Vase_1
69117353100,58.0831,left,Vase_1
69130610500,58.0966,left,Vase_1
69144672700,58.1104,left,Vase_1
69158769500,58.1245,left,Vase_1
69172775200,58.1386,left,Vase_1
69186277200,58.1523,left,Vase_1
69200972800,58.1668,left,Vase_1
69214311600,58.1801,left,Vase_1
69228414200,58.1944,left,Vase_1
69242445000,58.2082,left,Vase_1
69256680000,58.2225,left,Vase_1
69270010800,58.2359,left,Vase_1
69284230200,58.2500,left,Vase_1
69298114800,58.2639,left,Vase_1
69312574800,58.2783,left,Vase_1
69325630200,58.2915,left,Vase_1
69339965200,58.3057,left,Vase_1
69354217200,58.3200,left,Vase_1
69368142900,58.3341,left,Vase_1
69381353000,58.3470,left,Vase_1
69395347100,58.3612,left,Vase_1
69409125900,58.3751,left,Vase_1
69423442600,58.3892,left,Vase_1
69437461500,58.4031,left,Vase_1
69450852400,58.4168,left,Vase_1
69465077400,58.4309,left,Vase_1
69478917000,58.4447,left,Vase_1
69492896300,58.4586,left,Vase_1
69506817400,58.4728,left,Vase_1
69520509100,58.4863,left,Vase_1
69534531000,58.5003,left,Vase_1
69548190700,58.5141,left,Vase_1
69562771400,58.5286,left,Vase_1
69576572500,58.5423,left,Vase_1
69590165900,58.5561,left,Vase_1
69604616700,58.5703,left,Vase_1
69618645800,58.5844,left,Vase_1
69632470900,58.5983,left,Vase_1
69646350300,58.6123,left,Vase_1
69660459100,58.6261,left,Vase_1
69674188400,58.6399,left,Vase_1
69687839200,58.6538,left,Vase_1
69701876500,58.6676,left,Vase_1
69715551000,58.6813,left,Vase_1
69729781100,58.6957,left,Vase_1
69743569700,58.7094,left,Vase_1
69757491500,58.7233,left,Vase_1
69771362500,58.7372,left,Vase_1
69785460600,58.7513,left,Vase_1
69799314800,58.7651,left,Vase_1
69813450700,58.7792,left,Vase_1
69827290000,58.7932,left,Vase_1
69841105100,58.8069,left,Vase_1
69855027400,58.8208,left,Vase_1
69869426500,58.8354,left,Vase_1
69883041300,58.8488,left,Vase_1
69896676400,58.8625,left,Vase_1
69910912200,58.8769,left,Vase_1
69925170200,58.8910,left,Vase_1
69938571400,58.9043,left,Vase_1
69952931500,58.9188,left,Vase_1
69966352100,58.9323,left,Vase_1
69980410500,58.9462,left,Vase_1
69994412600,58.9602,left,Vase_1
70008237800,58.9742,left,Vase_1
70022370000,58.9882,left,Vase_1
70036427400,59.0022,left,Vase_1
70049729200,59.0157,left,Vase_1
70063793300,59.0296,left,Vase_1
70077900100,59.0437,left,Vase_1
70091672300,59.0574,left,Vase_1
70105801200,59.0717,left,Vase_1
70119633700,59.0855,left,Vase_1
70133705300,59.0995,left,Vase_1
70147319900,59.1133,left,Vase_1
70161680500,59.1274,left,Vase_1
70175282000,59.1411,left,Vase_1
70189221100,59.1552,left,Vase_1
70203064800,59.1689,left,Vase_1
70217267100,59.1830,left,Vase_1
70230802600,59.1968,left,Vase_1
70244977100,59.2108,left,Vase_1
70259424000,59.2252,left,Vase_1
70273254500,59.2389,left,Vase_1
70286800800,59.2528,left,Vase_1
70300610600,59.2664,left,Vase_1
70314652600,59.2805,left,Vase_1
70328348900,59.2943,left,Vase_1
70342399700,59.3082,left,Vase_1
70356716500,59.3226,left,Vase_1
70370108100,59.3361,left,Vase_1
70384593600,59.3503,left,Vase_1
70397857000,59.3637,left,Vase_1
70411861300,59.3777,left,Vase_1
70426317800,59.3923,left,Vase_1
70439898000,59.4056,left,Vase_1
70453581200,59.4194,left,Vase_1
70467047700,59.4330,left,Vase_1
70481610400,59.4474,left,Vase_1
70495540200,59.4613,left,Vase_1
70509085800,59.4751,left,Vase_1
70523351600,59.4890,left,Vase_1
70537227600,59.5031,left,Vase_1
70551251300,59.5171,left,Vase_1
70565950300,59.5317,left,Vase_1
70578937200,59.5448,left,Vase_1
70592835600,59.5586,left,Vase_1
70606530500,59.5724,left,Vase_1
70620840400,59.5867,left,Vase_1
70634748300,59.6005,left,Vase_1
70648287600,59.6143,left,Vase_1
70662741700,59.6284,left,Vase_1
70676249800,59.6421,left,Vase_1
70690064300,59.6561,left,Vase_1
70704162800,59.6700,left,Vase_1
70718397000,59.6841,left,Vase_1
70732048100,59.6979,left,Vase_1
70746063500,59.7121,left,Vase_1
70760159100,59.7260,left,Vase_1
70774270700,59.7399,left,Vase_1
70787706900,59.7537,left,Vase_1
70801671800,59.7675,left,Vase_1
70815144800,59.7810,left,Vase_1
70829334600,59.7953,left,Vase_1
70843241200,59.8090,left,Vase_1
70857765000,59.8235,left,Vase_1
70870916200,59.8369,left,Vase_1
70885440500,59.8512,left,Vase_1
70898892800,59.8647,left,Vase_1
70912774700,59.8786,left,Vase_1
70926813100,59.8928,left,Vase_1
70940810400,59.9066,left,Vase_1
70954691600,59.9205,left,Vase_1
70968359100,59.9344,left,Vase_1
70982303500,59.9481,left,Vase_1
70996103400,59.9619,left,Vase_1
71010411100,59.9764,left,Vase_1
71024047600,59.9899,left,Vase_1
71038442300,60.0042,left,Vase_1
71052777600,60.0185,left,Vase_1
71065631700,60.0316,left,Vase_1
71080679600,60.0465,left,Vase_1
71093594900,60.0594,left,Vase_1
71107781100,60.0737,left,Vase_1
71121868400,60.0877,left,Vase_1
71135001600,60.1008,left,Vase_1
71149049900,60.1150,left,Vase_1
71163536800,60.1293,left,Vase_1
71177028200,60.1428,left,Vase_1
71190857400,60.1568,left,Vase_1
71205100300,60.1709,left,Vase_1
71218850400,60.1846,left,Vase_1
71232782000,60.1986,left,Vase_1
71246514400,60.2125,left,Vase_1
71260837800,60.2266,left,Vase_1
71275261000,60.2410,left,Vase_1
71288154500,60.2541,left,Vase_1
71302571900,60.2683,left,Vase_1
71316595900,60.2824,left,Vase_1
71329896500,60.2958,left,Vase_1
71344633900,60.3104,left,Vase_1
71357891600,60.3237,left,Vase_1
71372198800,60.3380,left,Vase_1
71386212100,60.3521,left,Vase_1
71399646000,60.3655,left,Vase_1
71414036300,60.3798,left,Vase_1
71427643900,60.3936,left,Vase_1
71441987400,60.4077,left,Vase_1
71456100800,60.4219,left,Vase_1
71469794500,60.4358,left,Vase_1
71483864400,60.4497,left,Vase_1
71497647800,60.4634,left,Vase_1
71510960500,60.4769,left,Vase_1
71525065300,60.4908,left,Vase_1
71539377900,60.5052,left,Vase_1
71553649700,60.5194,left,Vase_1
71566732200,60.5327,left,Vase_1
71580739800,60.5466,left,Vase_1
71594616500,60.5604,left,Vase_1
71608258200,60.5742,left,Vase_1
71622656400,60.5884,left,Vase_1
71636915500,60.6027,left,Vase_1
71650170700,60.6161,left,Vase_1
71664332600,60.6301,left,Vase_1
71678436300,60.6442,left,Vase_1
71692111300,60.6579,left,Vase_1
71705882200,60.6719,left,Vase_1
71720080300,60.6858,left,Vase_1
71734074000,60.6998,left,Vase_1
71747725200,60.7137,left,Vase_1
71762124400,60.7279,left,Vase_1
71775708700,60.7415,left,Vase_1
71789345900,60.7553,left,Vase_1
71803486500,60.7692,left,Vase_1
71817442100,60.7832,left,Vase_1
71831827500,60.7975,left,Vase_1
71845150400,60.8111,left,Vase_1
71859671000,60.8254,left,Vase_1
71873261000,60.8391,left,Vase_1
71886965200,60.8529,left,Vase_1
71901066100,60.8669,left,Vase_1
71914764600,60.8806,left,Vase_1
71928491300,60.8945,left,Vase_1
71942834000,60.9086,left,Vase_1
71957110600,60.9229,left,Vase_1
71970466300,60.9365,left,Vase_1
71984584000,60.9504,left,Vase_1
71999325000,60.9650,left,Vase_1
72012956900,60.9788,left,Vase_1
72026510100,60.9925,left,Vase_1
72040620700,61.0064,left,Vase_1
72054467600,61.0202,left,Vase_1
72068083000,61.0341,left,Vase_1
72082081500,61.0479,left,Vase_1
72095792800,61.0616,left,Vase_1
72109703200,61.0755,left,Vase_1
72124760100,61.0905,left,Vase_1
72137911100,61.1037,left,Vase_1
72152029700,61.1178,left,Vase_1
72165483600,61.1314,left,Vase_1
72179537000,61.1453,left,Vase_1
72193247700,61.1591,left,Vase_1
72207312600,61.1733,left,Vase_1
72221194200,61.1869,left,Vase_1
72235242800,61.2011,left,Vase_1
72249017100,61.2150,left,Vase_1
72263103200,61.2289,left,Vase_1
72276856100,61.2426,left,Vase_1
72290922600,61.2568,left,Vase_1
72304874400,61.2706,left,Vase_1
72318585000,61.2844,left,Vase_1
72332809500,61.2986,left,Vase_1
72346542800,61.3125,left,Vase_1
72360660900,61.3264,left,Vase_1
72374605100,61.3404,left,Vase_1
72388161100,61.3541,left,Vase_1
72402586400,61.3684,left,Vase_1
72416645700,61.3824,left,Vase_1
72429730700,61.3957,left,Vase_1
72444515400,61.4103,left,Vase_1
72457893400,61.4237,left,Vase_1
72471689600,61.4375,left,Vase_1
72485785200,61.4518,left,Vase_1
72500406600,61.4661,left,Vase_1
72513918300,61.4797,left,Vase_1
72527498000,61.4935,left,Vase_1
72541366700,61.5072,left,Vase_1
72555607800,61.5213,left,Vase_1
72569530200,61.5355,left,Vase_1
72583078100,61.5489,left,Vase_1
72597305800,61.5631,left,Vase_1
72610842300,61.5767,left,Vase_1
72624914600,61.5907,left,Vase_1
72638846000,61.6046,left,Vase_1
72652986300,61.6188,left,Vase_1
72667269200,61.6332,left,Vase_1
72680598400,61.6464,left,Vase_1
72694498100,61.6603,left,Vase_1
72708861400,61.6748,left,Vase_1
72722542500,61.6883,left,Vase_1
72736275200,61.7021,left,Vase_1
72750347400,61.7163,left,Vase_1
72764356200,61.7301,left,Vase_1
72778877500,61.7445,left,Vase_1
72792420500,61.7582,left,Vase_1
72806024900,61.7720,left,Vase_1
72819905200,61.7857,left,Vase_1
72833886000,61.7996,left,Vase_1
72847691000,61.8137,left,Vase_1
72861583400,61.8274,left,Vase_1
72875959800,61.8417,left,Vase_1
72889421100,61.8553,left,Vase_1
72903904700,61.8697,left,Vase_1
72917516700,61.8833,left,Vase_1
72931704000,61.8975,left,Vase_1
72945392900,61.9113,left,Vase_1
72959224700,61.9250,left,Vase_1
72973416400,61.9392,left,Vase_1
72986840200,61.9528,left,Vase_1
73001320400,61.9670,left,Vase_1
73014751700,61.9806,left,Vase_1
73028582800,61.9945,left,Vase_1
73042603600,62.0084,left,Vase_1
73056861000,62.0225,left,Vase_1
73070547800,62.0365,left,Vase_1
73084789800,62.0506,left,Vase_1
73098679800,62.0645,left,Vase_1
73112195400,62.0779,left,Vase_1
73126063200,62.0920,left,Vase_1
73140639100,62.1063,left,Vase_1
73154545800,62.1203,left,Vase_1
73167781700,62.1337,left,Vase_1
73182383200,62.1482,left,Vase_1
73195916800,62.1617,left,Vase_1
73209446300,62.1754,left,Vase_1
73223654200,62.1894,left,Vase_1
73237448600,62.2033,left,Vase_1
73251190000,62.2172,left,Vase_1
73265691900,62.2314,left,Vase_1
73279355000,62.2451,left,Vase_1
73293413800,62.2592,left,Vase_1
73307067700,62.2730,left,Vase_1
73321389200,62.2871,left,Vase_1
73335452900,62.3012,left,Vase_1
73348731900,62.3147,left,Vase_1
73363111600,62.3288,left,Vase_1
73377223700,62.3430,left,Vase_1
73390992100,62.3569,left,Vase_1
73405117000,62.3709,left,Vase_1
73421235800,62.3870,left,Vase_1
73434315000,62.4001,left,Vase_1
73447900200,62.4138,left,Vase_1
73461876600,62.4277,left,Vase_1
73475154800,62.4409,left,Vase_1
73489270900,62.4552,left,Vase_1
73503033200,62.4688,left,Vase_1
73516458200,62.4822,left,Vase_1
73529961000,62.4959,left,Vase_1
73543953900,62.5097,left,Vase_1
73558047300,62.5238,left,Vase_1
73572176500,62.5380,left,Vase_1
73585746800,62.5517,left,Vase_1
73599712900,62.5655,left,Vase_1
73613465700,62.5792,left,Vase_1
